,id_cryptopunk,bids,for_sale,attribute,amount,amount_dols,date,tipo,tr_type
1695,5091,0,1,Nerd Glasses,299.0,970461.0,2021-08-28,Male,Offered
1696,5104,0,1,Peak Spike,127.69,555760.0,2021-10-30,Male,Offered
1697,5104,0,1,Cigarette,127.69,555760.0,2021-10-30,Male,Offered
1698,5104,0,1,Horned Rim Glasses,127.69,555760.0,2021-10-30,Male,Offered
1699,5107,0,1,Wild Hair,250.0,727713.0,2021-09-25,Male,Offered
1700,5107,0,1,Horned Rim Glasses,250.0,727713.0,2021-09-25,Male,Offered
1701,5107,0,1,Gold Chain,250.0,727713.0,2021-09-25,Male,Offered
1702,5107,0,1,Muttonchops,250.0,727713.0,2021-09-25,Male,Offered
1703,5110,0,1,Goat,135.0,561141.0,2021-12-05,Male,Offered
1704,5110,0,1,Crazy Hair,135.0,561141.0,2021-12-05,Male,Offered
1705,5110,0,1,Nerd Glasses,135.0,561141.0,2021-12-05,Male,Offered
1706,5110,0,1,Earring,135.0,561141.0,2021-12-05,Male,Offered
1707,5114,1,1,Big Beard,200.0,649568.0,2021-08-27,Male,Offered
1708,5114,1,1,Mohawk Thin,200.0,649568.0,2021-08-27,Male,Offered
1709,5114,1,1,Regular Shades,200.0,649568.0,2021-08-27,Male,Offered
1710,5114,1,1,Earring,200.0,649568.0,2021-08-27,Male,Offered
1711,5121,0,1,Tassle Hat,190.0,820523.0,2021-10-30,Female,Offered
1712,5121,0,1,Purple Eye Shadow,190.0,820523.0,2021-10-30,Female,Offered
1713,5125,0,1,Rosy Cheeks,0.0,0.0,2021-04-09,Female,Offered
1714,5125,0,1,Blonde Bob,0.0,0.0,2021-04-09,Female,Offered
1715,5125,0,1,Pipe,0.0,0.0,2021-04-09,Female,Offered
1716,5126,0,1,Handlebars,88.9,231740.0,2022-01-26,Male,Offered
1717,5126,0,1,Mohawk,88.9,231740.0,2022-01-26,Male,Offered
1718,5126,0,1,Big Shades,88.9,231740.0,2022-01-26,Male,Offered
1719,5131,0,1,Mohawk Thin,95.0,231369.0,2022-01-25,Male,Offered
1720,5131,0,1,Earring,95.0,231369.0,2022-01-25,Male,Offered
1721,5131,0,1,Smile,95.0,231369.0,2022-01-25,Male,Offered
1722,5135,0,1,Black Lipstick,345.0,1230000.0,2021-09-15,Female,Offered
1723,5135,0,1,Wild White Hair,345.0,1230000.0,2021-09-15,Female,Offered
1724,5135,0,1,Blue Eye Shadow,345.0,1230000.0,2021-09-15,Female,Offered
1725,5135,0,1,Pipe,345.0,1230000.0,2021-09-15,Female,Offered
1726,5140,0,1,Cigarette,150.0,572584.0,2021-10-19,Male,Offered
1727,5140,0,1,Earring,150.0,572584.0,2021-10-19,Male,Offered
1728,5140,0,1,Normal Beard Black,150.0,572584.0,2021-10-19,Male,Offered
1729,5140,0,1,Headband,150.0,572584.0,2021-10-19,Male,Offered
1730,5142,0,1,Normal Beard Black,129.0,606595.0,2021-12-01,Male,Offered
1731,5142,0,1,Knitted Cap,129.0,606595.0,2021-12-01,Male,Offered
1732,5150,0,1,Bandana,90.0,209360.0,2022-01-22,Male,Offered
1733,5150,0,1,Clown Eyes Blue,90.0,209360.0,2022-01-22,Male,Offered
1734,5150,0,1,Cigarette,90.0,209360.0,2022-01-22,Male,Offered
1735,5158,0,1,Big Shades,158.0,572938.0,2021-10-14,Female,Offered
1736,5158,0,1,Straight Hair,158.0,572938.0,2021-10-14,Female,Offered
1737,5170,0,1,Fedora,500.0,1070000.0,2021-07-08,Male,Offered
1738,5170,0,1,Big Shades,500.0,1070000.0,2021-07-08,Male,Offered
1739,5170,0,1,Earring,500.0,1070000.0,2021-07-08,Male,Offered
1740,5196,0,1,Vampire Hair,136.0,442170.0,2021-08-28,Male,Offered
1741,5196,0,1,Front Beard,136.0,442170.0,2021-08-28,Male,Offered
1742,5212,0,1,Purple Lipstick,87.99,218953.0,2022-01-26,Female,Offered
1743,5212,0,1,Blonde Bob,87.99,218953.0,2022-01-26,Female,Offered
1744,5212,0,1,Clown Eyes Green,87.99,218953.0,2022-01-26,Female,Offered
1745,5214,0,1,Silver Chain,118.0,287705.0,2022-01-25,Male,Offered
1746,5214,0,1,Wild Hair,118.0,287705.0,2022-01-25,Male,Offered
1747,5214,0,1,Eye Patch,118.0,287705.0,2022-01-25,Male,Offered
1748,5226,0,1,Earring,420.69,556379.0,2021-01-26,Male,Offered
1749,5226,0,1,Stringy Hair,420.69,556379.0,2021-01-26,Male,Offered
1750,5226,0,1,Shadow Beard,420.69,556379.0,2021-01-26,Male,Offered
1751,5226,0,1,Regular Shades,420.69,556379.0,2021-01-26,Male,Offered
1752,5228,0,1,Stringy Hair,81.95,199633.0,2022-01-26,Male,Offered
1753,5228,0,1,Front Beard,81.95,199633.0,2022-01-26,Male,Offered
1754,5233,0,1,Knitted Cap,152.0,639953.0,2021-11-22,Male,Offered
1755,5233,0,1,Cigarette,152.0,639953.0,2021-11-22,Male,Offered
1756,5233,0,1,Smile,152.0,639953.0,2021-11-22,Male,Offered
1757,5246,0,1,Gold Chain,250.0,1120000.0,2021-11-02,Male,Offered
1758,5246,0,1,Fedora,250.0,1120000.0,2021-11-02,Male,Offered
1759,5257,0,1,Mohawk Dark,200.0,649568.0,2021-08-27,Male,Offered
1760,5257,0,1,Regular Shades,200.0,649568.0,2021-08-27,Male,Offered
1761,5257,0,1,Handlebars,200.0,649568.0,2021-08-27,Male,Offered
1762,5257,0,1,Vape,200.0,649568.0,2021-08-27,Male,Offered
1763,5260,0,1,Gold Chain,195.0,464654.0,2022-01-27,Male,Offered
1764,5260,0,1,Shaved Head,195.0,464654.0,2022-01-27,Male,Offered
1765,5260,0,1,Clown Eyes Green,195.0,464654.0,2022-01-27,Male,Offered
1766,5268,0,1,Front Beard,250.0,906630.0,2021-10-08,Male,Offered
1767,5268,0,1,Bandana,250.0,906630.0,2021-10-08,Male,Offered
1768,5268,0,1,Horned Rim Glasses,250.0,906630.0,2021-10-08,Male,Offered
1769,5269,0,1,Knitted Cap,245.0,787945.0,2021-08-29,Male,Offered
1770,5269,0,1,Chinstrap,245.0,787945.0,2021-08-29,Male,Offered
1771,5269,0,1,Small Shades,245.0,787945.0,2021-08-29,Male,Offered
1772,5276,0,1,Frown,225.0,779976.0,2021-09-09,Male,Offered
1773,5276,0,1,Normal Beard,225.0,779976.0,2021-09-09,Male,Offered
1774,5276,0,1,VR,225.0,779976.0,2021-09-09,Male,Offered
1775,5276,0,1,Frumpy Hair,225.0,779976.0,2021-09-09,Male,Offered
1776,5287,0,1,Mohawk Thin,225.0,726307.0,2021-08-26,Male,Offered
1777,5287,0,1,Eye Patch,225.0,726307.0,2021-08-26,Male,Offered
1778,5287,0,1,Pipe,225.0,726307.0,2021-08-26,Male,Offered
1779,5291,0,1,Stringy Hair,92.0,414857.0,2021-12-02,Female,Offered
1780,5291,0,1,Classic Shades,92.0,414857.0,2021-12-02,Female,Offered
1781,5291,0,1,Black Lipstick,92.0,414857.0,2021-12-02,Female,Offered
1782,5296,0,1,Earring,789.6,2530000.0,2021-08-29,Male,Offered
1783,5296,0,1,Goat,789.6,2530000.0,2021-08-29,Male,Offered
1784,5296,0,1,Messy Hair,789.6,2530000.0,2021-08-29,Male,Offered
1785,5296,0,1,Eye Patch,789.6,2530000.0,2021-08-29,Male,Offered
1786,5302,0,1,Mohawk,132.0,446667.0,2021-08-31,Female,Offered
1787,5302,0,1,Nerd Glasses,132.0,446667.0,2021-08-31,Female,Offered
1788,5302,0,1,Purple Lipstick,132.0,446667.0,2021-08-31,Female,Offered
1789,5305,0,1,Handlebars,110.0,269008.0,2022-01-27,Male,Offered
1790,5305,0,1,Messy Hair,110.0,269008.0,2022-01-27,Male,Offered
1791,5305,0,1,Classic Shades,110.0,269008.0,2022-01-27,Male,Offered
1792,5306,0,1,Cigarette,111.0,282421.0,2022-01-26,Male,Offered
1793,5306,0,1,Spots,111.0,282421.0,2022-01-26,Male,Offered
1794,5306,0,1,Purple Hair,111.0,282421.0,2022-01-26,Male,Offered
1795,5306,0,1,Front Beard,111.0,282421.0,2022-01-26,Male,Offered
1796,5313,0,1,Mole,188.88,765908.0,2021-12-25,Male,Offered
1797,5313,0,1,Fedora,188.88,765908.0,2021-12-25,Male,Offered
1798,5313,0,1,Chinstrap,188.88,765908.0,2021-12-25,Male,Offered
1799,5313,0,1,Pipe,188.88,765908.0,2021-12-25,Male,Offered
1800,5315,0,1,Messy Hair,199.0,801548.0,2021-12-21,Male,Offered
1801,5315,0,1,Horned Rim Glasses,199.0,801548.0,2021-12-21,Male,Offered
1802,5337,0,1,Handlebars,214.0,1000000.0,2021-12-01,Male,Offered
1803,5337,0,1,Shaved Head,214.0,1000000.0,2021-12-01,Male,Offered
1804,5337,0,1,Earring,214.0,1000000.0,2021-12-01,Male,Offered
1805,5345,0,1,Straight Hair Blonde,0.0,0.0,2021-06-11,Female,Offered
1806,5345,0,1,Clown Eyes Blue,0.0,0.0,2021-06-11,Female,Offered
1807,5346,0,1,Vampire Hair,149.0,362884.0,2022-01-25,Male,Offered
1808,5346,0,1,Horned Rim Glasses,149.0,362884.0,2022-01-25,Male,Offered
1809,5346,0,1,Earring,149.0,362884.0,2022-01-25,Male,Offered
1810,5347,0,1,Wild Blonde,150.0,365727.0,2022-01-25,Female,Offered
1811,5347,0,1,Blue Eye Shadow,150.0,365727.0,2022-01-25,Female,Offered
1812,5357,1,1,Horned Rim Glasses,195.69,631840.0,2021-08-28,Male,Offered
1813,5357,1,1,Shaved Head,195.69,631840.0,2021-08-28,Male,Offered
1814,5365,0,1,Shadow Beard,220.0,998976.0,2021-11-05,Male,Offered
1815,5365,0,1,Horned Rim Glasses,220.0,998976.0,2021-11-05,Male,Offered
1816,5365,0,1,Peak Spike,220.0,998976.0,2021-11-05,Male,Offered
1817,5366,0,1,Normal Beard,375.0,1020000.0,2021-04-29,Male,Offered
1818,5366,0,1,Mohawk,375.0,1020000.0,2021-04-29,Male,Offered
1819,5375,0,1,Clown Hair Green,333.0,1030000.0,2021-10-01,Male,Offered
1820,5375,0,1,Mustache,333.0,1030000.0,2021-10-01,Male,Offered
1821,5396,1,1,Chinstrap,100.0,315615.0,2022-01-18,Male,Offered
1822,5396,1,1,Clown Eyes Green,100.0,315615.0,2022-01-18,Male,Offered
1823,5396,1,1,Mohawk Thin,100.0,315615.0,2022-01-18,Male,Offered
1824,5403,0,1,Shaved Head,150.0,571048.0,2021-12-20,Male,Offered
1825,5403,0,1,Clown Eyes Green,150.0,571048.0,2021-12-20,Male,Offered
1826,5406,0,1,Gold Chain,210.0,792091.0,2021-10-15,Male,Offered
1827,5406,0,1,Mohawk Thin,210.0,792091.0,2021-10-15,Male,Offered
1828,5430,1,1,Spots,144.99,471399.0,2021-08-28,Male,Offered
1829,5430,1,1,Luxurious Beard,144.99,471399.0,2021-08-28,Male,Offered
1830,5430,1,1,Earring,144.99,471399.0,2021-08-28,Male,Offered
1831,5438,0,1,Cigarette,117.0,379541.0,2021-08-28,Female,Offered
1832,5438,0,1,Straight Hair,117.0,379541.0,2021-08-28,Female,Offered
1833,5444,1,1,Top Hat,140.0,340610.0,2022-01-24,Male,Offered
1834,5444,1,1,Front Beard,140.0,340610.0,2022-01-24,Male,Offered
1835,5447,0,1,Earring,288.0,752656.0,2022-01-26,Male,Offered
1836,5447,0,1,Cap Forward,288.0,752656.0,2022-01-26,Male,Offered
1837,5447,0,1,Goat,288.0,752656.0,2022-01-26,Male,Offered
1838,5447,0,1,Small Shades,288.0,752656.0,2022-01-26,Male,Offered
1839,5463,0,1,Front Beard Dark,250.0,923955.0,2022-01-03,Male,Offered
1840,5465,0,1,Regular Shades,420.0,1020000.0,2022-01-25,Male,Offered
1841,5465,0,1,Frown,420.0,1020000.0,2022-01-25,Male,Offered
1842,5465,0,1,Chinstrap,420.0,1020000.0,2022-01-25,Male,Offered
