,amount,amount_dols,date,id_cryptopunk,tipo,tr_type
34439,0.0,0.0,2021-04-18,5217,Ape,Offered
34444,7.75,14263.0,2021-02-14,5220,Male,Offered
34446,30.5,51001.0,2021-03-23,5221,Female,Offered
34451,20.25,49968.0,2021-04-15,5222,Female,Offered
34458,87.5,266688.0,2022-01-08,5224,Male,Offered
34461,5.0,1192.0,2020-06-01,5225,Male,Offered
34470,420.69,556379.0,2021-01-26,5226,Male,Offered
34477,44.99,115391.0,2021-08-01,5227,Male,Offered
34496,81.95,199633.0,2022-01-26,5228,Male,Offered
34557,49.0,121437.0,2021-08-03,5229,Male,Offered
34571,0.8,177.0,2018-10-04,5230,Male,Offered
34617,67.95,222150.0,2022-01-13,5231,Male,Offered
34647,152.0,639953.0,2021-11-22,5233,Male,Offered
34660,321.0,468005.0,2021-02-28,5234,Zombie,Offered
34674,14.5,38889.0,2021-06-06,5237,Male,Offered
34690,225.0,465840.0,2021-04-09,5238,Male,Offered
34693,27.0,73843.0,2021-04-30,5239,Male,Offered
34698,169.42,598415.0,2022-01-06,5240,Male,Offered
34708,45.0,85071.0,2021-07-14,5241,Male,Offered
34732,63.0,237770.0,2021-12-14,5243,Female,Offered
34752,250.0,1120000.0,2021-11-02,5246,Male,Offered
34757,10.27,18901.0,2021-02-14,5247,Male,Offered
34760,0.13,39.0,2017-10-12,5249,Male,Offered
34763,300.0,597606.0,2021-04-02,5252,Male,Offered
34799,76.0,184267.0,2022-01-25,5254,Female,Offered
34802,200.0,649568.0,2021-08-27,5257,Male,Offered
34864,195.0,464654.0,2022-01-27,5260,Male,Offered
34873,36.0,77049.0,2021-04-18,5262,Male,Offered
34875,76.76,273766.0,2022-01-05,5265,Female,Offered
34882,125.0,441821.0,2021-10-07,5266,Female,Offered
34883,30.0,45294.0,2021-03-02,5267,Female,Offered
34886,250.0,906630.0,2021-10-08,5268,Male,Offered
34893,245.0,787945.0,2021-08-29,5269,Male,Offered
34927,25.99,75902.0,2021-05-02,5271,Female,Offered
35013,750.0,2430000.0,2021-08-28,5272,Male,Offered
35021,98.99,274374.0,2021-08-06,5273,Male,Offered
35044,87.0,287703.0,2021-08-24,5275,Male,Offered
35062,225.0,779976.0,2021-09-09,5276,Male,Offered
35064,0.4,82.0,2017-07-10,5277,Female,Offered
35084,67.5,277087.0,2021-12-24,5279,Female,Offered
35092,17.0,33824.0,2021-02-20,5280,Male,Offered
35096,16.0,29205.0,2021-02-16,5283,Male,Offered
35098,2.0,371.0,2019-08-16,5284,Male,Offered
35106,1.99,770.0,2020-09-13,5285,Female,Offered
35107,14.25,25713.0,2021-02-17,5286,Male,Offered
35145,225.0,726307.0,2021-08-26,5287,Male,Offered
35156,149.0,374438.0,2021-08-04,5288,Male,Offered
35162,0.15,145.0,2018-01-05,5289,Male,Offered
35163,0.75,235.0,2019-07-08,5290,Male,Offered
35169,92.0,414857.0,2021-12-02,5291,Female,Offered
35178,42.0,123527.0,2021-05-01,5293,Female,Offered
35179,1.0,306.0,2019-07-07,5294,Male,Offered
35229,28.0,71770.0,2021-06-09,5295,Female,Offered
35250,789.6,2530000.0,2021-08-29,5296,Male,Offered
35252,0.39,111.0,2017-07-02,5297,Male,Offered
35253,53.0,13021.0,2017-07-08,5300,Male,Offered
35262,14.98,37232.0,2021-06-08,5301,Female,Offered
35266,132.0,446667.0,2021-08-31,5302,Female,Offered
35287,110.0,269008.0,2022-01-27,5305,Male,Offered
35299,111.0,282421.0,2022-01-26,5306,Male,Offered
35301,0.2,234.0,2018-01-29,5307,Female,Offered
35308,13.0,14335.0,2021-01-13,5308,Male,Offered
35322,22.99,47025.0,2021-04-08,5309,Male,Offered
35323,0.09,26.0,2017-11-01,5311,Male,Offered
35372,188.88,765908.0,2021-12-25,5313,Male,Offered
35379,144.5,53134.0,2020-09-10,5314,Ape,Offered
35386,199.0,801548.0,2021-12-21,5315,Male,Offered
35388,3.0,556.0,2019-08-16,5317,Male,Offered
35390,0.25,40.0,2019-10-24,5319,Male,Offered
35394,1.11,151.0,2020-01-10,5320,Male,Offered
35403,6.0,2148.0,2020-09-28,5321,Female,Offered
35406,24.5,36259.0,2021-02-27,5322,Male,Offered
35417,64.99,259982.0,2021-12-19,5323,Female,Offered
35420,1.1,264.0,2020-07-10,5324,Male,Offered
35439,33.0,50436.0,2021-02-23,5325,Male,Offered
35440,0.75,207.0,2019-07-12,5327,Male,Offered
35442,18.5,33826.0,2021-03-09,5329,Male,Offered
35443,0.98,141.0,2020-01-11,5332,Female,Offered
35492,74.0,306373.0,2021-12-04,5333,Female,Offered
35511,111.69,476664.0,2021-11-24,5334,Male,Offered
35516,214.0,1000000.0,2021-12-01,5337,Male,Offered
35522,26.88,47817.0,2021-03-21,5338,Male,Offered
35524,27.99,51808.0,2021-03-14,5339,Female,Offered
35532,17.75,38373.0,2021-06-29,5340,Female,Offered
35534,48.0,89586.0,2021-03-14,5342,Male,Offered
35547,55.0,171925.0,2021-08-10,5343,Female,Offered
35548,0.0,0.0,2021-06-11,5345,Female,Offered
35562,149.0,362884.0,2022-01-25,5346,Male,Offered
35587,150.0,365727.0,2022-01-25,5347,Female,Offered
35599,24.99,47599.0,2021-07-17,5348,Female,Offered
35602,21.5,46466.0,2021-04-19,5349,Male,Offered
35612,250.0,817888.0,2021-08-21,5350,Male,Offered
35619,24.4,59131.0,2021-04-15,5352,Male,Offered
35620,0.13,39.0,2017-10-12,5353,Male,Offered
35638,0.0,0.0,2021-07-30,5354,Female,Offered
35644,54.0,210250.0,2021-05-09,5355,Male,Offered
35645,0.29,66.0,2017-08-01,5356,Male,Offered
35657,195.69,631840.0,2021-08-28,5357,Male,Offered
35663,68.88,208115.0,2022-01-21,5358,Female,Offered
35664,6.9,2255.0,2017-06-23,5359,Male,Offered
35667,41.0,65955.0,2021-03-25,5360,Male,Offered
35668,125.0,547876.0,2021-12-03,5361,Female,Offered
35669,139.75,588360.0,2021-10-25,5362,Male,Offered
35673,80.0,193982.0,2022-01-25,5363,Male,Offered
35675,16.19,31598.0,2021-02-21,5364,Male,Offered
35678,220.0,998976.0,2021-11-05,5365,Male,Offered
35683,375.0,1020000.0,2021-04-29,5366,Male,Offered
35688,4.94,2192.0,2020-11-09,5367,Male,Offered
35689,1.0,1279.0,2018-01-15,5369,Male,Offered
35693,18.4,33173.0,2021-02-17,5370,Male,Offered
35699,125.0,395955.0,2021-08-29,5371,Male,Offered
35721,199.0,616870.0,2021-08-07,5372,Female,Offered
35726,99.0,315494.0,2021-08-16,5373,Female,Offered
35734,21.7,74650.0,2021-05-05,5374,Male,Offered
35740,333.0,1030000.0,2021-10-01,5375,Male,Offered
35741,1.0,306.0,2019-07-07,5376,Female,Offered
35755,62.0,196710.0,2022-01-18,5380,Male,Offered
35756,1.0,269.0,2019-07-11,5382,Male,Offered
35763,165.0,526393.0,2021-08-27,5383,Female,Offered
35780,60.0,199843.0,2021-08-23,5384,Female,Offered
35787,84.0,401554.0,2021-11-08,5385,Female,Offered
35791,50.0,162078.0,2021-08-14,5387,Male,Offered
35792,0.5,153.0,2019-07-07,5388,Male,Offered
35813,98.99,403306.0,2021-12-24,5389,Female,Offered
35817,30.0,98832.0,2021-05-04,5390,Male,Offered
35824,0.3,86.0,2017-09-23,5391,Female,Offered
35844,73.4,312711.0,2021-12-08,5392,Male,Offered
35850,118.0,416180.0,2021-09-09,5393,Male,Offered
35859,0.0,0.0,2021-04-02,5394,Male,Offered
35864,20.5,40286.0,2021-07-21,5395,Male,Offered
35867,100.0,315615.0,2022-01-18,5396,Male,Offered
35883,55.0,103144.0,2021-03-14,5397,Male,Offered
35901,3.5,700.0,2020-05-21,5398,Female,Offered
35907,23.49,36114.0,2021-03-04,5399,Male,Offered
35932,108.0,413888.0,2021-12-15,5400,Male,Offered
35934,18.0,20464.0,2021-01-15,5401,Female,Offered
35951,175.0,571377.0,2021-08-16,5402,Male,Offered
35954,150.0,571048.0,2021-12-20,5403,Male,Offered
35987,128.0,574474.0,2021-11-05,5404,Male,Offered
35988,64.99,161416.0,2021-04-17,5405,Female,Offered
36004,210.0,792091.0,2021-10-15,5406,Male,Offered
36005,0.33,93.0,2017-06-25,5408,Male,Offered
36007,42.0,74073.0,2021-03-08,5409,Female,Offered
36018,165.2,546146.0,2021-08-14,5411,Male,Offered
36025,38.0,17542.0,2020-11-16,5412,Zombie,Offered
36026,35.0,56942.0,2021-02-25,5413,Female,Offered
36038,21.8,73607.0,2021-05-04,5416,Male,Offered
36042,69.98,195675.0,2021-08-05,5417,Male,Offered
36044,24.5,86457.0,2021-05-08,5418,Male,Offered
36045,56.0,177170.0,2021-08-09,5419,Female,Offered
36047,24.65,4969.0,2020-05-22,5420,Male,Offered
36054,50.0,18499.0,2020-09-15,5421,Male,Offered
36061,190.0,610303.0,2021-10-01,5422,Male,Offered
36063,1.0,185.0,2019-08-16,5423,Male,Offered
36064,0.14,114.0,2017-12-19,5424,Male,Offered
36077,17.0,5883.0,2020-09-24,5425,Male,Offered
