,amount,amount_dols,date,id_cryptopunk,tipo,tr_type
9126,198.0,519168.0,2021-08-01,4940,Male,Sold
9131,24.99,51576.0,2021-04-08,4941,Female,Sold
9133,4.17,5635.0,2021-01-21,4942,Male,Sold
9140,51.25,169645.0,2021-08-14,4943,Female,Sold
9148,133.0,374830.0,2021-09-29,4945,Male,Sold
9149,0.38,41.0,2018-11-26,4946,Female,Sold
9154,107.0,385395.0,2021-10-09,4948,Male,Sold
9156,23.99,58581.0,2021-07-30,4950,Female,Sold
9166,0.0,0.0,2021-07-30,4951,Male,Sold
9169,130.0,482608.0,2022-01-01,4953,Male,Sold
9171,8.0,15462.0,2021-02-21,4955,Male,Sold
9175,170.0,551859.0,2021-08-29,4956,Male,Sold
9182,26.95,91188.0,2021-05-04,4957,Female,Sold
9193,13.5,53165.0,2021-05-13,4960,Male,Sold
9196,95.0,395436.0,2021-11-27,4961,Female,Sold
9197,0.6,119.0,2020-05-14,4962,Male,Sold
9201,20.75,49065.0,2021-07-04,4963,Female,Sold
9202,23.0,34684.0,2021-02-25,4964,Female,Sold
9211,82.95,280491.0,2022-01-12,4965,Male,Sold
9212,0.25,53.0,2019-08-12,4966,Male,Sold
9213,94.94,361380.0,2021-12-31,4967,Male,Sold
9218,22.39,40317.0,2021-03-16,4968,Male,Sold
9220,26.5,45166.0,2021-03-23,4969,Male,Sold
9221,0.05,26.0,2018-05-28,4970,Male,Sold
9223,0.49,131.0,2019-05-26,4971,Male,Sold
9225,90.0,391592.0,2021-11-24,4974,Male,Sold
9226,7.0,11955.0,2021-02-08,4975,Male,Sold
9229,1.0,232.0,2020-07-02,4976,Male,Sold
9232,1.0,161.0,2020-01-16,4977,Male,Sold
9237,52.0,164363.0,2021-08-19,4978,Male,Sold
9240,91.98,397931.0,2021-11-21,4979,Female,Sold
9243,27.99,77335.0,2021-04-29,4982,Male,Sold
9246,2.55,535.0,2020-05-20,4985,Female,Sold
9248,24.0,46391.0,2021-02-21,4986,Male,Sold
9253,26.94,48709.0,2021-06-25,4988,Male,Sold
9257,2.55,992.0,2020-08-26,4989,Male,Sold
9259,0.21,65.0,2017-08-12,4990,Female,Sold
9261,130.0,559575.0,2021-11-20,4991,Male,Sold
9263,450.0,1810000.0,2021-10-23,4992,Male,Sold
9264,0.14,15.0,2018-12-04,4993,Male,Sold
9273,24.0,58605.0,2021-07-30,4994,Male,Sold
9278,88.88,245993.0,2021-04-30,4995,Male,Sold
9281,29.0,71397.0,2021-07-31,4996,Female,Sold
9283,99.75,323876.0,2021-08-28,4997,Female,Sold
9285,4.69,5743.0,2021-01-08,4998,Male,Sold
9286,1.5,361.0,2020-07-13,4999,Male,Sold
9287,0.3,67.0,2017-08-03,5000,Female,Sold
9288,1.2,247.0,2017-07-29,5001,Female,Sold
9291,205.0,382579.0,2021-07-17,5002,Male,Sold
9295,25.0,45716.0,2021-02-22,5004,Male,Sold
9297,14.99,28779.0,2021-02-19,5005,Female,Sold
9298,19.99,36853.0,2021-03-30,5006,Male,Sold
9299,0.32,88.0,2017-07-03,5007,Female,Sold
9300,8.0,11458.0,2021-02-02,5008,Male,Sold
9302,127.99,493052.0,2021-10-17,5010,Female,Sold
9311,83.0,383555.0,2021-11-15,5011,Female,Sold
9312,5.0,5501.0,2021-01-13,5012,Male,Sold
9314,34.99,56953.0,2021-02-24,5013,Male,Sold
9316,7.0,9138.0,2021-01-20,5014,Female,Sold
9322,130.0,378719.0,2021-09-28,5017,Male,Sold
9329,45.0,141437.0,2021-08-19,5018,Male,Sold
9330,0.27,225.0,2018-02-24,5019,Male,Sold
9339,14.99,37113.0,2021-05-22,5020,Male,Sold
9340,4.59,5141.0,2021-01-11,5021,Male,Sold
9341,0.9,322.0,2020-09-06,5022,Male,Sold
9343,118.49,380618.0,2021-08-31,5023,Male,Sold
9344,28.0,60786.0,2021-07-25,5025,Male,Sold
9353,48.0,133292.0,2021-08-06,5028,Male,Sold
9354,0.19,59.0,2017-08-12,5029,Male,Sold
9355,8.0,14765.0,2021-02-14,5033,Male,Sold
9357,111.0,343686.0,2021-08-27,5037,Male,Sold
9358,20.0,44869.0,2021-04-19,5038,Female,Sold
9364,0.0,0.0,2021-12-02,5039,Male,Sold
9366,19.97,36142.0,2021-03-29,5040,Female,Sold
9368,15.88,38275.0,2021-06-16,5041,Male,Sold
9370,68.99,163774.0,2022-01-25,5043,Female,Sold
9371,42.0,117487.0,2021-08-05,5044,Female,Sold
9372,0.12,37.0,2017-09-28,5045,Female,Sold
9374,23.0,71929.0,2021-05-03,5046,Male,Sold
9375,49.75,156367.0,2021-08-19,5048,Male,Sold
9378,99.0,308864.0,2021-08-27,5050,Male,Sold
9380,69.69,188415.0,2021-08-04,5051,Male,Sold
9381,22.49,37407.0,2021-03-23,5052,Female,Sold
9383,165.0,535539.0,2021-08-28,5054,Female,Sold
9385,109.79,325326.0,2021-09-24,5055,Female,Sold
9386,0.1,33.0,2017-06-23,5056,Male,Sold
9388,13.0,26835.0,2021-04-04,5058,Male,Sold
9389,44.0,107443.0,2021-07-30,5059,Male,Sold
9390,101.0,366200.0,2021-09-16,5060,Female,Sold
9394,100.0,276237.0,2021-08-06,5062,Male,Sold
9403,66.49,158706.0,2022-01-22,5063,Male,Sold
9410,59.99,190320.0,2021-08-17,5065,Male,Sold
9411,50.0,18354.0,2020-09-15,5066,Zombie,Sold
9413,74.65,178246.0,2022-01-25,5067,Female,Sold
9416,84.97,304883.0,2021-09-15,5069,Female,Sold
9424,170.0,551859.0,2021-08-29,5070,Male,Sold
9427,64.95,265890.0,2021-12-24,5071,Female,Sold
9429,100.0,304097.0,2021-09-23,5073,Female,Sold
9431,115.0,356071.0,2021-08-27,5074,Female,Sold
9434,9.09,15688.0,2021-02-10,5075,Female,Sold
9438,20.88,44981.0,2021-04-12,5077,Male,Sold
9443,4.5,5389.0,2021-01-06,5078,Male,Sold
9444,0.05,28.0,2018-05-29,5079,Female,Sold
9448,119.9,390668.0,2021-09-13,5080,Male,Sold
9450,40.0,72582.0,2021-03-08,5083,Female,Sold
9451,0.4,108.0,2017-07-04,5084,Female,Sold
9454,94.95,410863.0,2021-11-18,5086,Female,Sold
9458,98.69,320144.0,2021-08-28,5087,Male,Sold
9459,5.75,9450.0,2021-02-03,5088,Male,Sold
9467,51.44,162876.0,2021-08-17,5089,Male,Sold
9474,47.0,132019.0,2021-08-06,5090,Male,Sold
9478,85.0,277803.0,2021-08-20,5091,Male,Sold
9480,239.0,624665.0,2021-08-05,5092,Male,Sold
9482,242.69,798261.0,2021-10-02,5093,Male,Sold
9484,115.0,344937.0,2021-09-30,5094,Female,Sold
9486,34.0,72764.0,2021-07-11,5096,Female,Sold
9487,0.1,70.0,2018-04-24,5097,Female,Sold
9491,22.74,54774.0,2021-07-30,5098,Male,Sold
9496,171.0,554878.0,2021-08-28,5101,Male,Sold
9498,94.95,235378.0,2022-01-25,5103,Male,Sold
9503,119.0,347450.0,2021-09-29,5104,Male,Sold
9508,47.69,132431.0,2021-08-06,5105,Female,Sold
9509,0.13,34.0,2017-09-21,5106,Female,Sold
9511,0.45,78.0,2019-09-05,5107,Male,Sold
9515,87.95,387152.0,2021-12-08,5108,Female,Sold
9516,28.99,49413.0,2021-03-23,5110,Male,Sold
9517,88.0,408454.0,2021-11-13,5113,Male,Sold
